Step,Percentile,AUROC,Precision,Recall,F1 score,Random Seed
83200,9.617421913146973,0.7864811387353543,0.18771777003484322,0.5930285889007797,0.285168167616247,42
83200,10.143761920928954,0.7864811387353543,0.21602787456445993,0.5118483412322274,0.30382503743364037,42
83200,10.857989025115968,0.7864811387353543,0.26277584204413473,0.4150741476838404,0.3218159189237243,42
83200,12.077137422561629,0.7864811387353543,0.3530778164924506,0.2788564439688121,0.3116084393952336,42
83200,12.502912178039551,0.7864811387353543,0.3868860391967094,0.24445803393976456,0.2996065205171445,42
83200,13.03885143280029,0.7864811387353543,0.4325806451612903,0.20501452377312337,0.2781869100715693,42
83200,13.862345180511468,0.7864811387353543,0.5070149975810353,0.1602201498241859,0.24349442379182157,42
83200,15.492234678268424,0.7864811387353543,0.660541586073501,0.10441828466595322,0.1803300330033003,42
83200,15.766526469230655,0.7864811387353543,0.6849462365591398,0.09738572083779239,0.1705260339981261,42
83200,16.033238098144533,0.7864811387353543,0.6989117291414753,0.08836569331906437,0.15689467969598261,42
83200,16.445216106414744,0.7864811387353543,0.7237569060773481,0.08011007491209295,0.14425326909841704,42
83200,16.835206851959242,0.7864811387353543,0.7467741935483871,0.07078428374866229,0.1293115486663874,42
83200,17.453257369995114,0.7864811387353543,0.769825918762089,0.060846965295826325,0.11277982431283648,42
83200,18.076063201904343,0.7864811387353543,0.8019323671497585,0.05075676502063905,0.09547088425593099,42
83200,18.71068694877632,0.7864811387353543,0.8096774193548387,0.03837333741018193,0.07327397460224785,42
83200,19.680505130767774,0.7864811387353543,0.8454106280193237,0.026754318911481424,0.051867219917012444,42
83200,21.23402075576788,0.7864811387353543,0.8461538461538461,0.013453600366916374,0.02648607975921746,42
