Step,Percentile,AUROC,Precision,Recall,F1 score,Random Seed
81600,16.907817840576172,0.7185221246175737,0.15476190476190477,0.4889160678795291,0.23510384120566072,42
81600,17.5522123336792,0.7185221246175737,0.1755065169699316,0.415838556795597,0.24683515586006627,42
81600,18.40665550231934,0.7185221246175737,0.21012388695315526,0.331906436324721,0.2573342025721567,42
81600,19.779476261138917,0.7185221246175737,0.2872628726287263,0.22687662436936248,0.2535235329290168,42
81600,20.20510192871093,0.7185221246175737,0.3198645052020324,0.20210976914844825,0.24770470301667602,42
81600,20.739316768646233,0.7185221246175737,0.35451612903225804,0.16801712276410335,0.22798464889534278,42
81600,21.481519966125486,0.7185221246175737,0.43009192065795837,0.13591194007032564,0.20655204460966542,42
81600,22.736801319122314,0.7185221246175737,0.5783365570599613,0.09142332976609081,0.1578877887788779,42
81600,22.972476318359377,0.7185221246175737,0.6064516129032258,0.08622534780614585,0.1509838040422969,42
81600,23.18607875061036,0.7185221246175737,0.6251511487303507,0.0790399021556337,0.14033659066232354,42
81600,23.412264835357668,0.7185221246175737,0.664364640883978,0.07353615655098608,0.13241569167240191,42
81600,23.744279384613137,0.7185221246175737,0.6870967741935484,0.06512765632166335,0.11897779639715123,42
81600,24.10836570739746,0.7185221246175737,0.7311411992263056,0.05778932884879988,0.1071124964579201,42
81600,24.565035324096705,0.7185221246175737,0.782608695652174,0.049533710441828464,0.0931703810208483,42
81600,25.11444286918642,0.7185221246175737,0.8225806451612904,0.03898486469958722,0.07444168734491317,42
81600,25.837057914733826,0.7185221246175737,0.8454106280193237,0.026754318911481424,0.051867219917012444,42
81600,26.992582647323964,0.7185221246175737,0.9134615384615384,0.014523773123375631,0.028592927012791574,42
