Step,Percentile,AUROC,Precision,Recall,F1 score,Random Seed
81600,254.8382476806641,0.7445072684612746,0.16802168021680217,0.5308056872037915,0.2552471972063959,42
81600,265.68175048828124,0.7445072684612746,0.19641244031487934,0.4653722672374255,0.2762375788375153,42
81600,279.4192138671875,0.7445072684612746,0.23790166473093302,0.3757835193395505,0.2913530492502815,42
81600,301.70100555419924,0.7445072684612746,0.3281068524970964,0.2591346888854915,0.28957034253011016,42
81600,308.6863830566405,0.7445072684612746,0.36414226953786594,0.23008714263874025,0.2819936293798014,42
81600,317.90438323974604,0.7445072684612746,0.42193548387096774,0.19996942363552975,0.2713411471839021,42
81600,331.3953662109375,0.7445072684612746,0.502177068214804,0.15869133160067267,0.24117100371747208,42
81600,355.2177365112305,0.7445072684612746,0.6518375241779497,0.10304234826479132,0.17795379537953798,42
81600,360.21890414428714,0.7445072684612746,0.6752688172043011,0.09600978443663048,0.16811671797617456,42
81600,365.02172802734435,0.7445072684612746,0.7013301088270859,0.088671456963767,0.15743756786102062,42
81600,370.88559805297746,0.7445072684612746,0.7251381215469613,0.08026295673444428,0.1445285615966965,42
81600,377.5662355957042,0.7445072684612746,0.7645161290322581,0.07246598379452683,0.13238374528697108,42
81600,385.56371948242185,0.7445072684612746,0.7969052224371374,0.06298731080874484,0.11674695381127798,42
81600,396.8005329589845,0.7445072684612746,0.8647342995169082,0.05473169240177343,0.10294751976994969,42
81600,409.87302410888725,0.7445072684612746,0.9096774193548387,0.043112673903072926,0.08232374835790396,42
81600,432.88833923339774,0.7445072684612746,0.9516908212560387,0.03011771900321052,0.05838767042086545,42
81600,468.56725341797016,0.7445072684612746,1.0,0.015899709524537533,0.031301730624529726,42
