Step,Percentile,AUROC,Precision,Recall,F1 score,Random Seed
83200,28.68751373291016,0.7643798604448144,0.18781455671699573,0.5933343525454824,0.2853151994118728,42
83200,28.885399723052977,0.7643798604448144,0.23093302361595044,0.547164042195383,0.32478787603793274,42
83200,29.149282264709473,0.7643798604448144,0.3037166085946574,0.4797431585384498,0.37195519468974103,42
83200,29.581028842926024,0.7643798604448144,0.4883855981416957,0.3857208377923865,0.4310241735713675,42
83200,29.73188621520996,0.7643798604448144,0.5596419066053714,0.35361565509860876,0.43338954468802693,42
83200,29.954382534027097,0.7643798604448144,0.6641935483870968,0.3147836722213729,0.4271341147183902,42
83200,30.368306007385254,0.7643798604448144,0.787614900822448,0.2488916067879529,0.3782527881040892,42
83200,31.32388488769531,0.7643798604448144,0.90715667311412,0.14340314936554044,0.24765676567656766,42
83200,31.497000831604005,0.7643798604448144,0.9193548387096774,0.13071395811038067,0.22888502208539688,42
83200,31.689922653198252,0.7643798604448144,0.9274486094316807,0.1172603577434643,0.20819761129207381,42
83200,31.883494617462155,0.7643798604448144,0.9419889502762431,0.10426540284360189,0.18774948382656573,42
83200,32.1511769485474,0.7643798604448144,0.95,0.09004739336492891,0.1645021645021645,42
83200,32.49934774398804,0.7643798604448144,0.9613152804642167,0.07598226570860725,0.1408330971946727,42
83200,32.909665405273444,0.7643798604448144,0.9734299516908212,0.061611374407582936,0.11588785046728972,42
83200,33.320287288665824,0.7643798604448144,0.9774193548387097,0.0463231921724507,0.08845424025689681,42
83200,34.00827854156492,0.7643798604448144,0.9855072463768116,0.031187891759669774,0.06046235921754593,42
83200,35.00837090301525,0.7643798604448144,1.0,0.015899709524537533,0.031301730624529726,42
