Model,Dataset,Method,Weight,Label,Step,Percentile,AUROC,PRC,Precision,Recall,F1 score,Random Seed,Date
dae_denoiser.DAEDenoiser,material,rec,paper,0,81600,12.286223602294921,0.6135722344431618,0.11018655638647262,0.11019163763066202,0.34811190949396115,0.16739569931997794,42,Sat Jun 15 18:23:16 2019
dae_denoiser.DAEDenoiser,material,rec,paper,0,81600,12.950663661956787,0.6135722344431618,0.11018655638647262,0.12040263259775455,0.2852774805075676,0.16933617677753074,42,Sat Jun 15 18:23:16 2019
dae_denoiser.DAEDenoiser,material,rec,paper,0,81600,13.847936153411867,0.6135722344431618,0.11018655638647262,0.13704994192799072,0.21648066044947256,0.16784211462099213,42,Sat Jun 15 18:23:16 2019
dae_denoiser.DAEDenoiser,material,rec,paper,0,81600,15.279097938537586,0.6135722344431618,0.11018655638647262,0.17382888114595432,0.13728787647148755,0.15341248825489026,42,Sat Jun 15 18:23:16 2019
dae_denoiser.DAEDenoiser,material,rec,paper,0,81600,15.727720489501948,0.6135722344431618,0.11018655638647262,0.1860633922090491,0.11756612138816695,0.14408843919805134,42,Sat Jun 15 18:23:16 2019
dae_denoiser.DAEDenoiser,material,rec,paper,0,81600,16.26952230453491,0.6135722344431618,0.11018655638647262,0.19838709677419356,0.09402232074606329,0.12758012654288972,42,Sat Jun 15 18:23:16 2019
dae_denoiser.DAEDenoiser,material,rec,paper,0,81600,17.069040489196777,0.6135722344431618,0.11018655638647262,0.21722302854378325,0.06864393823574377,0.10432156133828996,42,Sat Jun 15 18:23:16 2019
dae_denoiser.DAEDenoiser,material,rec,paper,0,81600,18.339307022094726,0.6135722344431618,0.11018655638647262,0.2311411992263056,0.03653875554196606,0.0631023102310231,42,Sat Jun 15 18:23:16 2019
dae_denoiser.DAEDenoiser,material,rec,paper,0,81600,18.547256021499635,0.6135722344431618,0.11018655638647262,0.23655913978494625,0.033634000917290935,0.05889439164770446,42,Sat Jun 15 18:23:16 2019
dae_denoiser.DAEDenoiser,material,rec,paper,0,81600,18.808591857910166,0.6135722344431618,0.11018655638647262,0.2370012091898428,0.029964837180859197,0.053203040173724216,42,Sat Jun 15 18:23:16 2019
dae_denoiser.DAEDenoiser,material,rec,paper,0,81600,19.049074558258045,0.6135722344431618,0.11018655638647262,0.2361878453038674,0.026142791622076136,0.047075017205781146,42,Sat Jun 15 18:23:16 2019
dae_denoiser.DAEDenoiser,material,rec,paper,0,81600,19.297180969238287,0.6135722344431618,0.11018655638647262,0.23709677419354838,0.022473627885644398,0.04105571847507331,42,Sat Jun 15 18:23:16 2019
dae_denoiser.DAEDenoiser,material,rec,paper,0,81600,19.67465510368347,0.6135722344431618,0.11018655638647262,0.2379110251450677,0.01880446414921266,0.0348540663077359,42,Sat Jun 15 18:23:17 2019
dae_denoiser.DAEDenoiser,material,rec,paper,0,81600,20.126435806274415,0.6135722344431618,0.11018655638647262,0.25120772946859904,0.015899709524537533,0.02990654205607477,42,Sat Jun 15 18:23:17 2019
dae_denoiser.DAEDenoiser,material,rec,paper,0,81600,20.62647159576417,0.6135722344431618,0.11018655638647262,0.23870967741935484,0.01131325485399786,0.02160268573930813,42,Sat Jun 15 18:23:17 2019
dae_denoiser.DAEDenoiser,material,rec,paper,0,81600,21.397220409393285,0.6135722344431618,0.11018655638647262,0.22705314009661837,0.007185445650512154,0.013930053349140485,42,Sat Jun 15 18:23:17 2019
dae_denoiser.DAEDenoiser,material,rec,paper,0,81600,22.46235136222851,0.6135722344431618,0.11018655638647262,0.17307692307692307,0.0027518728023238036,0.005417607223476298,42,Sat Jun 15 18:23:17 2019
dae_denoiser.DAEDenoiser,material,den,paper,0,81600,9.213522148132327,0.7161175307755923,0.17626155527418372,0.15858497870692992,0.5009937318452836,0.24091159713288,42,Sat Jun 15 18:23:17 2019
dae_denoiser.DAEDenoiser,material,den,paper,0,81600,9.467771863937378,0.7161175307755923,0.17626155527418372,0.18389469608981804,0.43571319370126893,0.25863242433867234,42,Sat Jun 15 18:23:17 2019
dae_denoiser.DAEDenoiser,material,den,paper,0,81600,9.813398361206055,0.7161175307755923,0.17626155527418372,0.22028648857917152,0.34795902767160986,0.26978012208854385,42,Sat Jun 15 18:23:17 2019
dae_denoiser.DAEDenoiser,material,den,paper,0,81600,10.463107252120965,0.7161175307755923,0.17626155527418372,0.2802942315137437,0.22137287876471487,0.24737336636200563,42,Sat Jun 15 18:23:17 2019
dae_denoiser.DAEDenoiser,material,den,paper,0,81600,10.687978553771966,0.7161175307755923,0.17626155527418372,0.297846600532301,0.18819752331447792,0.23065392542626945,42,Sat Jun 15 18:23:17 2019
dae_denoiser.DAEDenoiser,material,den,paper,0,81600,10.969974584579468,0.7161175307755923,0.17626155527418372,0.31,0.14691943127962084,0.19935691318327972,42,Sat Jun 15 18:23:17 2019
dae_denoiser.DAEDenoiser,material,den,paper,0,81600,11.409805393218992,0.7161175307755923,0.17626155527418372,0.3173681664247702,0.10029047546246751,0.15241635687732344,42,Sat Jun 15 18:23:17 2019
dae_denoiser.DAEDenoiser,material,den,paper,0,81600,12.22637984275817,0.7161175307755923,0.17626155527418372,0.30077369439071566,0.047546246751261276,0.08211221122112211,42,Sat Jun 15 18:23:17 2019
dae_denoiser.DAEDenoiser,material,den,paper,0,81600,12.337943523406986,0.7161175307755923,0.17626155527418372,0.3,0.04265402843601896,0.07468879668049792,42,Sat Jun 15 18:23:17 2019
