Step,Percentile,AUROC,Precision,Recall,F1 score,Random Seed
81600,628.6634155273438,0.7133434394875292,0.1537940379403794,0.4858584314325027,0.23363352324940265,42
81600,643.6119598388672,0.7133434394875292,0.17789392179636082,0.4214951842225959,0.2501928399655157,42
81600,662.2792663574219,0.7133434394875292,0.21709252806813784,0.3429139275340162,0.26586854738339366,42
81600,691.2583465576172,0.7133434394875292,0.3035230352303523,0.23971869744687357,0.26787392158537626,42
81600,700.3115966796875,0.7133434394875292,0.3384950399225744,0.21388166946950007,0.2621322840547124,42
81600,711.3082348632812,0.7133434394875292,0.38741935483870965,0.18361106864393822,0.24914427963904157,42
81600,726.5303210449217,0.7133434394875292,0.4644412191582003,0.14676654945726952,0.22304832713754646,42
81600,754.0926165771484,0.7133434394875292,0.6025145067698259,0.09524537532487387,0.1644884488448845,42
81600,758.2536954345703,0.7133434394875292,0.632258064516129,0.08989451154257759,0.15740864676750102,42
81600,762.8113105468753,0.7133434394875292,0.6517533252720678,0.0824033022473628,0.1463083604777416,42
81600,768.127343749999,0.7133434394875292,0.6781767955801105,0.07506497477449932,0.13516861665519614,42
81600,774.9044173583986,0.7133434394875292,0.717741935483871,0.06803241094633848,0.12428431783270494,42
81600,782.2844705200195,0.7133434394875292,0.769825918762089,0.060846965295826325,0.11277982431283648,42
81600,792.6588217773437,0.7133434394875292,0.821256038647343,0.051979819599449625,0.09777138749101366,42
81600,806.3560679321292,0.7133434394875292,0.8419354838709677,0.039902155633695154,0.07619325645891112,42
81600,823.9821408691379,0.7133434394875292,0.8888888888888888,0.028130255312643328,0.054534676941315946,42
81600,858.4337601928712,0.7133434394875292,0.9423076923076923,0.014982418590429598,0.02949586155003762,42
