Step,Percentile,AUROC,Precision,Recall,F1 score,Random Seed
83200,9.543519401550293,0.6589099202701685,0.12330623306233063,0.38954288335116954,0.1873185076272744,42
83200,10.006727266311644,0.6589099202701685,0.1272422248032004,0.30148295367680783,0.17895548799854805,42
83200,10.652363586425784,0.6589099202701685,0.12388695315524584,0.19568873260969272,0.15172168553310023,42
83200,11.762712287902822,0.6589099202701685,0.10298102981029811,0.08133312949090353,0.0908857948236098,42
83200,12.140405883789056,0.6589099202701685,0.08807161867892573,0.055648983335881363,0.06820311036162638,42
83200,12.643691921234126,0.6589099202701685,0.07354838709677419,0.03485705549610151,0.04729799813297375,42
83200,13.383918876647948,0.6589099202701685,0.05079825834542816,0.016052591346888856,0.024395910780669147,42
83200,14.758802137374872,0.6589099202701685,0.03481624758220503,0.005503745604647607,0.009504950495049505,42
83200,14.979819803237916,0.6589099202701685,0.035483870967741936,0.00504510013759364,0.008834158747155667,42
83200,15.24070506286624,0.6589099202701685,0.03990326481257558,0.00504510013759364,0.008957654723127036,42
83200,15.483457947731017,0.6589099202701685,0.04281767955801105,0.004739336492890996,0.008534067446662078,42
83200,15.782035867691059,0.6589099202701685,0.04838709677419355,0.004586454670539673,0.008378718056137411,42
83200,16.142059507369993,0.6589099202701685,0.04642166344294004,0.003669163736431738,0.006800793425899688,42
83200,16.528898765563966,0.6589099202701685,0.043478260869565216,0.0027518728023238036,0.005176132278936017,42
83200,17.060404258728056,0.6589099202701685,0.04516129032258064,0.002140345512918514,0.004086994599328565,42
83200,17.531196643829205,0.6589099202701685,0.04830917874396135,0.0015288182235132244,0.002963841138114997,42
83200,18.512971778869947,0.6589099202701685,0.04807692307692308,0.0007644091117566122,0.001504890895410083,42
