Model,Dataset,Method,Weight,Label,Step,Percentile,AUROC,PRC,Precision,Recall,F1 score,Random Seed,Date
autoencoder_denoiser.AutoencoderDenoiser,material,scores_den,paper,0,83200,14.758802137374872,0.6589099202701685,0.10094516364972558,0.03481624758220503,0.005503745604647607,0.009504950495049505,42,Mon Jun 17 00:07:23 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_den,paper,0,83200,14.979819803237916,0.6589099202701685,0.10094516364972558,0.035483870967741936,0.00504510013759364,0.008834158747155667,42,Mon Jun 17 00:07:23 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_den,paper,0,83200,15.24070506286624,0.6589099202701685,0.10094516364972558,0.03990326481257558,0.00504510013759364,0.008957654723127036,42,Mon Jun 17 00:07:23 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_den,paper,0,83200,15.483457947731017,0.6589099202701685,0.10094516364972558,0.04281767955801105,0.004739336492890996,0.008534067446662078,42,Mon Jun 17 00:07:23 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_den,paper,0,83200,15.782035867691059,0.6589099202701685,0.10094516364972558,0.04838709677419355,0.004586454670539673,0.008378718056137411,42,Mon Jun 17 00:07:23 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_den,paper,0,83200,16.142059507369993,0.6589099202701685,0.10094516364972558,0.04642166344294004,0.003669163736431738,0.006800793425899688,42,Mon Jun 17 00:07:23 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_den,paper,0,83200,16.528898765563966,0.6589099202701685,0.10094516364972558,0.043478260869565216,0.0027518728023238036,0.005176132278936017,42,Mon Jun 17 00:07:23 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_den,paper,0,83200,17.060404258728056,0.6589099202701685,0.10094516364972558,0.04516129032258064,0.002140345512918514,0.004086994599328565,42,Mon Jun 17 00:07:23 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_den,paper,0,83200,17.531196643829205,0.6589099202701685,0.10094516364972558,0.04830917874396135,0.0015288182235132244,0.002963841138114997,42,Mon Jun 17 00:07:23 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_den,paper,0,83200,18.512971778869947,0.6589099202701685,0.10094516364972558,0.04807692307692308,0.0007644091117566122,0.001504890895410083,42,Mon Jun 17 00:07:23 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_1,paper,0,83200,223.78152465820312,0.7800522826797549,0.3659694195663573,0.18737901664730933,0.5919584161443204,0.2846535563315567,42,Mon Jun 17 00:07:24 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_1,paper,0,83200,233.92699127197267,0.7800522826797549,0.3659694195663573,0.22396438250096787,0.5306528053814401,0.3149870683787831,42,Mon Jun 17 00:07:24 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_1,paper,0,83200,247.06651306152344,0.7800522826797549,0.3659694195663573,0.281525210490661,0.4447332212199969,0.34479080241792104,42,Mon Jun 17 00:07:24 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_1,paper,0,83200,268.65933532714837,0.7800522826797549,0.3659694195663573,0.4152148664343786,0.3279315089435866,0.36644742461775,42,Mon Jun 17 00:07:24 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_1,paper,0,83200,275.851387939453,0.7800522826797549,0.3659694195663573,0.46818291797725625,0.2958263262498089,0.3625632377740304,42,Mon Jun 17 00:07:24 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_1,paper,0,83200,285.7902877807617,0.7800522826797549,0.3659694195663573,0.5406451612903226,0.2562299342608164,0.3476817757494036,42,Mon Jun 17 00:07:24 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_1,paper,0,83200,300.329034423828,0.7800522826797549,0.3659694195663573,0.6521528785679729,0.20608469652958264,0.31319702602230487,42,Mon Jun 17 00:07:24 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_1,paper,0,83200,330.4999835205078,0.7800522826797549,0.3659694195663573,0.8500967117988395,0.13438312184681242,0.2320792079207921,42,Mon Jun 17 00:07:24 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_1,paper,0,83200,335.2008641357422,0.7800522826797549,0.3659694195663573,0.8698924731182796,0.12368139428221984,0.21657074019542233,42,Mon Jun 17 00:07:24 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_1,paper,0,83200,341.8838913574224,0.7800522826797549,0.3659694195663573,0.8935912938331319,0.11297966671762727,0.2005971769815418,42,Mon Jun 17 00:07:24 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_1,paper,0,83200,350.438687194824,0.7800522826797549,0.3659694195663573,0.9240331491712708,0.10227793915303471,0.18417068134893325,42,Mon Jun 17 00:07:24 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_1,paper,0,83200,359.2551826171886,0.7800522826797549,0.3659694195663573,0.9403225806451613,0.08913010243082098,0.16282642089093705,42,Mon Jun 17 00:07:24 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_1,paper,0,83200,370.57264480590817,0.7800522826797549,0.3659694195663573,0.9574468085106383,0.0756765020639046,0.14026636440918105,42,Mon Jun 17 00:07:24 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_1,paper,0,83200,386.7888892822268,0.7800522826797549,0.3659694195663573,0.9685990338164251,0.06130561076288029,0.11531272465851904,42,Mon Jun 17 00:07:24 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_1,paper,0,83200,406.02632641601815,0.7800522826797549,0.3659694195663573,0.9806451612903225,0.04647607399480202,0.08874616844256314,42,Mon Jun 17 00:07:24 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_1,paper,0,83200,435.91295941161854,0.7800522826797549,0.3659694195663573,0.9855072463768116,0.031187891759669774,0.06046235921754593,42,Mon Jun 17 00:07:24 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_1,paper,0,83200,480.89829882812705,0.7800522826797549,0.3659694195663573,0.9903846153846154,0.01574682770218621,0.031000752445447706,42,Mon Jun 17 00:07:24 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_2,paper,0,83200,9.617421913146973,0.7864811387353543,0.2953885399136543,0.18771777003484322,0.5930285889007797,0.285168167616247,42,Mon Jun 17 00:07:25 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_2,paper,0,83200,10.143761920928954,0.7864811387353543,0.2953885399136543,0.21602787456445993,0.5118483412322274,0.30382503743364037,42,Mon Jun 17 00:07:25 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_2,paper,0,83200,10.857989025115968,0.7864811387353543,0.2953885399136543,0.26277584204413473,0.4150741476838404,0.3218159189237243,42,Mon Jun 17 00:07:25 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_2,paper,0,83200,12.077137422561629,0.7864811387353543,0.2953885399136543,0.3530778164924506,0.2788564439688121,0.3116084393952336,42,Mon Jun 17 00:07:25 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_2,paper,0,83200,12.502912178039551,0.7864811387353543,0.2953885399136543,0.3868860391967094,0.24445803393976456,0.2996065205171445,42,Mon Jun 17 00:07:25 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_2,paper,0,83200,13.03885143280029,0.7864811387353543,0.2953885399136543,0.4325806451612903,0.20501452377312337,0.2781869100715693,42,Mon Jun 17 00:07:25 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_2,paper,0,83200,13.862345180511468,0.7864811387353543,0.2953885399136543,0.5070149975810353,0.1602201498241859,0.24349442379182157,42,Mon Jun 17 00:07:25 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_2,paper,0,83200,15.492234678268424,0.7864811387353543,0.2953885399136543,0.660541586073501,0.10441828466595322,0.1803300330033003,42,Mon Jun 17 00:07:25 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_2,paper,0,83200,15.766526469230655,0.7864811387353543,0.2953885399136543,0.6849462365591398,0.09738572083779239,0.1705260339981261,42,Mon Jun 17 00:07:25 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_2,paper,0,83200,16.033238098144533,0.7864811387353543,0.2953885399136543,0.6989117291414753,0.08836569331906437,0.15689467969598261,42,Mon Jun 17 00:07:25 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_2,paper,0,83200,16.445216106414744,0.7864811387353543,0.2953885399136543,0.7237569060773481,0.08011007491209295,0.14425326909841704,42,Mon Jun 17 00:07:25 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_2,paper,0,83200,16.835206851959242,0.7864811387353543,0.2953885399136543,0.7467741935483871,0.07078428374866229,0.1293115486663874,42,Mon Jun 17 00:07:25 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_2,paper,0,83200,17.453257369995114,0.7864811387353543,0.2953885399136543,0.769825918762089,0.060846965295826325,0.11277982431283648,42,Mon Jun 17 00:07:25 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_2,paper,0,83200,18.076063201904343,0.7864811387353543,0.2953885399136543,0.8019323671497585,0.05075676502063905,0.09547088425593099,42,Mon Jun 17 00:07:25 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_2,paper,0,83200,18.71068694877632,0.7864811387353543,0.2953885399136543,0.8096774193548387,0.03837333741018193,0.07327397460224785,42,Mon Jun 17 00:07:25 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_2,paper,0,83200,19.680505130767774,0.7864811387353543,0.2953885399136543,0.8454106280193237,0.026754318911481424,0.051867219917012444,42,Mon Jun 17 00:07:25 2019
autoencoder_denoiser.AutoencoderDenoiser,material,scores_pipe_2,paper,0,83200,21.23402075576788,0.7864811387353543,0.2953885399136543,0.8461538461538461,0.013453600366916374,0.02648607975921746,42,Mon Jun 17 00:07:25 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_1,paper,0,83200,829.476416015625,0.6481626799581435,0.19054694981608405,0.1292586140147116,0.4083473475003822,0.19636096305826137,42,Mon Jun 17 00:07:26 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_1,paper,0,83200,838.5690246582031,0.6481626799581435,0.19054694981608405,0.14795457478384308,0.3505580186515823,0.2080856663187985,42,Mon Jun 17 00:07:26 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_1,paper,0,83200,850.2140502929688,0.6481626799581435,0.19054694981608405,0.17895857530003872,0.28267848952759517,0.2191667160552362,42,Mon Jun 17 00:07:26 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_1,paper,0,83200,867.565560913086,0.6481626799581435,0.19054694981608405,0.24099883855981416,0.19033786882739642,0.21269326044247033,42,Mon Jun 17 00:07:26 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_1,paper,0,83200,872.5489843749999,0.6481626799581435,0.19054694981608405,0.26494072102588917,0.16740559547469805,0.2051714446318156,42,Mon Jun 17 00:07:26 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_1,paper,0,83200,878.814027709961,0.6481626799581435,0.19054694981608405,0.3035483870967742,0.1438617948325944,0.19520796597863294,42,Mon Jun 17 00:07:26 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_1,paper,0,83200,887.1543420410155,0.6481626799581435,0.19054694981608405,0.366715045960329,0.1158844213423024,0.17611524163568776,42,Mon Jun 17 00:07:26 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_1,paper,0,83200,901.2678430175781,0.6481626799581435,0.19054694981608405,0.5096711798839458,0.08056872037914692,0.13914191419141916,42,Mon Jun 17 00:07:26 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_1,paper,0,83200,903.6427893676757,0.6481626799581435,0.19054694981608405,0.5365591397849462,0.07628802935330989,0.13358318832820237,42,Mon Jun 17 00:07:26 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_1,paper,0,83200,906.4232475585939,0.6481626799581435,0.19054694981608405,0.5707376058041113,0.07216022014982419,0.12812160694896854,42,Mon Jun 17 00:07:26 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_1,paper,0,83200,909.297013671875,0.6481626799581435,0.19054694981608405,0.6104972375690608,0.06757376547928451,0.12167928423950447,42,Mon Jun 17 00:07:26 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_1,paper,0,83200,912.3604083251954,0.6481626799581435,0.19054694981608405,0.6419354838709678,0.060846965295826325,0.11115765954475632,42,Mon Jun 17 00:07:26 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_1,paper,0,83200,916.3051043701172,0.6481626799581435,0.19054694981608405,0.6963249516441006,0.05503745604647607,0.10201190138849532,42,Mon Jun 17 00:07:26 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_1,paper,0,83200,920.8690346679689,0.6481626799581435,0.19054694981608405,0.7439613526570048,0.04708760128420731,0.08856937455068296,42,Mon Jun 17 00:07:26 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_1,paper,0,83200,926.8098536987309,0.6481626799581435,0.19054694981608405,0.8193548387096774,0.038831982877235896,0.07414975915924682,42,Mon Jun 17 00:07:26 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_1,paper,0,83200,936.3720468749991,0.6481626799581435,0.19054694981608405,0.9082125603864735,0.028741782602048616,0.05572021339656194,42,Mon Jun 17 00:07:26 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_1,paper,0,83200,955.3921944580175,0.6481626799581435,0.19054694981608405,0.9519230769230769,0.01513530041278092,0.029796839729119638,42,Mon Jun 17 00:07:26 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_2,paper,0,83200,28.68751373291016,0.7643798604448144,0.4238573093791877,0.18781455671699573,0.5933343525454824,0.2853151994118728,42,Mon Jun 17 00:07:27 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_2,paper,0,83200,28.885399723052977,0.7643798604448144,0.4238573093791877,0.23093302361595044,0.547164042195383,0.32478787603793274,42,Mon Jun 17 00:07:27 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_2,paper,0,83200,29.149282264709473,0.7643798604448144,0.4238573093791877,0.3037166085946574,0.4797431585384498,0.37195519468974103,42,Mon Jun 17 00:07:27 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_2,paper,0,83200,29.581028842926024,0.7643798604448144,0.4238573093791877,0.4883855981416957,0.3857208377923865,0.4310241735713675,42,Mon Jun 17 00:07:27 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_2,paper,0,83200,29.73188621520996,0.7643798604448144,0.4238573093791877,0.5596419066053714,0.35361565509860876,0.43338954468802693,42,Mon Jun 17 00:07:27 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_2,paper,0,83200,29.954382534027097,0.7643798604448144,0.4238573093791877,0.6641935483870968,0.3147836722213729,0.4271341147183902,42,Mon Jun 17 00:07:27 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_2,paper,0,83200,30.368306007385254,0.7643798604448144,0.4238573093791877,0.787614900822448,0.2488916067879529,0.3782527881040892,42,Mon Jun 17 00:07:27 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_2,paper,0,83200,31.32388488769531,0.7643798604448144,0.4238573093791877,0.90715667311412,0.14340314936554044,0.24765676567656766,42,Mon Jun 17 00:07:27 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_2,paper,0,83200,31.497000831604005,0.7643798604448144,0.4238573093791877,0.9193548387096774,0.13071395811038067,0.22888502208539688,42,Mon Jun 17 00:07:27 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_2,paper,0,83200,31.689922653198252,0.7643798604448144,0.4238573093791877,0.9274486094316807,0.1172603577434643,0.20819761129207381,42,Mon Jun 17 00:07:27 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_2,paper,0,83200,31.883494617462155,0.7643798604448144,0.4238573093791877,0.9419889502762431,0.10426540284360189,0.18774948382656573,42,Mon Jun 17 00:07:27 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_2,paper,0,83200,32.1511769485474,0.7643798604448144,0.4238573093791877,0.95,0.09004739336492891,0.1645021645021645,42,Mon Jun 17 00:07:27 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_2,paper,0,83200,32.49934774398804,0.7643798604448144,0.4238573093791877,0.9613152804642167,0.07598226570860725,0.1408330971946727,42,Mon Jun 17 00:07:27 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_2,paper,0,83200,32.909665405273444,0.7643798604448144,0.4238573093791877,0.9734299516908212,0.061611374407582936,0.11588785046728972,42,Mon Jun 17 00:07:27 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_2,paper,0,83200,33.320287288665824,0.7643798604448144,0.4238573093791877,0.9774193548387097,0.0463231921724507,0.08845424025689681,42,Mon Jun 17 00:07:27 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_2,paper,0,83200,34.00827854156492,0.7643798604448144,0.4238573093791877,0.9855072463768116,0.031187891759669774,0.06046235921754593,42,Mon Jun 17 00:07:27 2019
autoencoder_denoiser.AutoencoderDenoiser,material,mask_2,paper,0,83200,35.00837090301525,0.7643798604448144,0.4238573093791877,1.0,0.015899709524537533,0.031301730624529726,42,Mon Jun 17 00:07:27 2019
