Model,Dataset,Method,Weight,Label,Step,Percentile,AUROC,PRC,Precision,Recall,F1 score,Random Seed,Date
cvae_denoiser.CVAEDenoiser,material,rec,paper,0,81600,26.33986968994141,0.7076475999480336,0.2179873965489701,0.14663182346109174,0.46323192172450695,0.22275317037309317,42,Sat Jun 15 09:17:16 2019
cvae_denoiser.CVAEDenoiser,material,rec,paper,0,81600,26.7137659072876,0.7076475999480336,0.2179873965489701,0.16634404439282488,0.39412933802170924,0.23394890875266572,42,Sat Jun 15 09:17:16 2019
cvae_denoiser.CVAEDenoiser,material,rec,paper,0,81600,27.168682861328126,0.7076475999480336,0.2179873965489701,0.19773519163763068,0.3123375630637517,0.2421620340188467,42,Sat Jun 15 09:17:16 2019
cvae_denoiser.CVAEDenoiser,material,rec,paper,0,81600,27.802742099761964,0.7076475999480336,0.2179873965489701,0.27255129694154084,0.21525760587066198,0.24053984795421546,42,Sat Jun 15 09:17:16 2019
cvae_denoiser.CVAEDenoiser,material,rec,paper,0,81600,27.982750854492185,0.7076475999480336,0.2179873965489701,0.30413743043793856,0.19217245069561228,0.23552557616638561,42,Sat Jun 15 09:17:16 2019
cvae_denoiser.CVAEDenoiser,material,rec,paper,0,81600,28.199485759735104,0.7076475999480336,0.2179873965489701,0.3496774193548387,0.1657238954288335,0.22487293849185766,42,Sat Jun 15 09:17:16 2019
cvae_denoiser.CVAEDenoiser,material,rec,paper,0,81600,28.470635566711422,0.7076475999480336,0.2179873965489701,0.42331881954523465,0.13377159455740711,0.20329925650557618,42,Sat Jun 15 09:17:16 2019
cvae_denoiser.CVAEDenoiser,material,rec,paper,0,81600,28.922469005584716,0.7076475999480336,0.2179873965489701,0.5502901353965184,0.08698975691790246,0.15023102310231023,42,Sat Jun 15 09:17:16 2019
cvae_denoiser.CVAEDenoiser,material,rec,paper,0,81600,28.98839216995239,0.7076475999480336,0.2179873965489701,0.5698924731182796,0.08102736584620089,0.1418819435149244,42,Sat Jun 15 09:17:16 2019
cvae_denoiser.CVAEDenoiser,material,rec,paper,0,81600,29.05086444091797,0.7076475999480336,0.2179873965489701,0.5900846432889963,0.07460632930744535,0.13246471226927253,42,Sat Jun 15 09:17:16 2019
cvae_denoiser.CVAEDenoiser,material,rec,paper,0,81600,29.131317861557008,0.7076475999480336,0.2179873965489701,0.6174033149171271,0.06833817459104112,0.12305574673090158,42,Sat Jun 15 09:17:16 2019
cvae_denoiser.CVAEDenoiser,material,rec,paper,0,81600,29.21262223815919,0.7076475999480336,0.2179873965489701,0.6564516129032258,0.06222290169698823,0.11367127496159754,42,Sat Jun 15 09:17:16 2019
cvae_denoiser.CVAEDenoiser,material,rec,paper,0,81600,29.313250827789304,0.7076475999480336,0.2179873965489701,0.6982591876208898,0.0551903378688274,0.10229526778124114,42,Sat Jun 15 09:17:16 2019
cvae_denoiser.CVAEDenoiser,material,rec,paper,0,81600,29.476913269042974,0.7076475999480336,0.2179873965489701,0.7246376811594203,0.045864546705396726,0.08626887131560028,42,Sat Jun 15 09:17:16 2019
cvae_denoiser.CVAEDenoiser,material,rec,paper,0,81600,29.662694852828984,0.7076475999480336,0.2179873965489701,0.7806451612903226,0.03699740100902003,0.07064662093125092,42,Sat Jun 15 09:17:16 2019
cvae_denoiser.CVAEDenoiser,material,rec,paper,0,81600,29.91002866744995,0.7076475999480336,0.2179873965489701,0.8357487922705314,0.02644855526677878,0.05127445168938945,42,Sat Jun 15 09:17:16 2019
cvae_denoiser.CVAEDenoiser,material,rec,paper,0,81600,30.286340854644784,0.7076475999480336,0.2179873965489701,0.8846153846153846,0.014065127656321664,0.027689992475545523,42,Sat Jun 15 09:17:16 2019
cvae_denoiser.CVAEDenoiser,material,den,paper,0,81600,21.118526458740234,0.49200573828055955,0.06809544465647821,0.07457413859852884,0.23559088824338786,0.11328799852968204,42,Sat Jun 15 09:17:17 2019
cvae_denoiser.CVAEDenoiser,material,den,paper,0,81600,21.386356258392333,0.49200573828055955,0.06809544465647821,0.07794554136017551,0.1846812414003975,0.1096238486319706,42,Sat Jun 15 09:17:17 2019
cvae_denoiser.CVAEDenoiser,material,den,paper,0,81600,21.72075958251953,0.49200573828055955,0.06809544465647821,0.08178474641889276,0.12918513988686744,0.10016001896521069,42,Sat Jun 15 09:17:17 2019
cvae_denoiser.CVAEDenoiser,material,den,paper,0,81600,22.253345680236816,0.49200573828055955,0.06809544465647821,0.08633372048006194,0.0681852927686898,0.07619373024686085,42,Sat Jun 15 09:17:17 2019
cvae_denoiser.CVAEDenoiser,material,den,paper,0,81600,22.41265571594238,0.49200573828055955,0.06809544465647821,0.0892813936607791,0.056413392447637975,0.06913996627318718,42,Sat Jun 15 09:17:17 2019
cvae_denoiser.CVAEDenoiser,material,den,paper,0,81600,22.61485303878784,0.49200573828055955,0.06809544465647821,0.09161290322580645,0.04341843754777557,0.05891505030598485,42,Sat Jun 15 09:17:17 2019
cvae_denoiser.CVAEDenoiser,material,den,paper,0,81600,22.86170108795166,0.49200573828055955,0.06809544465647821,0.10256410256410256,0.03241094633848036,0.049256505576208184,42,Sat Jun 15 09:17:17 2019
cvae_denoiser.CVAEDenoiser,material,den,paper,0,81600,23.3045460319519,0.49200573828055955,0.06809544465647821,0.09864603481624758,0.015593945879834887,0.02693069306930693,42,Sat Jun 15 09:17:17 2019
cvae_denoiser.CVAEDenoiser,material,den,paper,0,81600,23.372635194778443,0.49200573828055955,0.06809544465647821,0.10215053763440861,0.014523773123375631,0.025431669120599652,42,Sat Jun 15 09:17:17 2019
cvae_denoiser.CVAEDenoiser,material,den,paper,0,81600,23.442784408569338,0.49200573828055955,0.06809544465647821,0.1003627569528416,0.012689191255159762,0.02252985884907709,42,Sat Jun 15 09:17:17 2019
cvae_denoiser.CVAEDenoiser,material,den,paper,0,81600,23.515774576187127,0.49200573828055955,0.06809544465647821,0.10082872928176796,0.011160373031646537,0.0200963523743978,42,Sat Jun 15 09:17:17 2019
cvae_denoiser.CVAEDenoiser,material,den,paper,0,81600,23.60490761947632,0.49200573828055955,0.06809544465647821,0.09838709677419355,0.009325791163430668,0.017036726714146067,42,Sat Jun 15 09:17:17 2019
cvae_denoiser.CVAEDenoiser,material,den,paper,0,81600,23.700041799545286,0.49200573828055955,0.06809544465647821,0.10831721470019343,0.008561382051674057,0.01586851799376594,42,Sat Jun 15 09:17:17 2019
cvae_denoiser.CVAEDenoiser,material,den,paper,0,81600,23.81691167449951,0.49200573828055955,0.06809544465647821,0.11352657004830918,0.007185445650512154,0.013515456506110711,42,Sat Jun 15 09:17:17 2019
cvae_denoiser.CVAEDenoiser,material,den,paper,0,81600,23.961582138061523,0.49200573828055955,0.06809544465647821,0.11612903225806452,0.005503745604647607,0.010509414683987738,42,Sat Jun 15 09:17:17 2019
cvae_denoiser.CVAEDenoiser,material,den,paper,0,81600,24.17842401504515,0.49200573828055955,0.06809544465647821,0.1111111111111111,0.003516281914080416,0.006816834617664493,42,Sat Jun 15 09:17:17 2019
cvae_denoiser.CVAEDenoiser,material,den,paper,0,81600,24.524133750915546,0.49200573828055955,0.06809544465647821,0.125,0.0019874636905671916,0.003912716328066216,42,Sat Jun 15 09:17:17 2019
